id,birthdate
15,12/20/1989
249,10/21/1989
351,3/30/1989
436,7/18/1989
503,12/16/1989
508,7/22/1989
533,9/4/1989
584,6/23/1989
617,2/16/1989
710,5/6/1989
789,6/7/1989
819,5/31/1989
872,5/23/1989
897,7/21/1989
926,10/7/1989
3050,4/23/1989
3058,8/6/1989
3078,10/10/1989
3182,4/29/1989
3185,4/8/1989
3226,1/11/1989
3259,7/18/1989
3369,7/9/1989
3398,5/7/1989
3424,4/19/1989
3471,1/12/1989
3528,4/30/1989
3554,10/13/1989
3616,3/19/1989
3621,8/21/1989
3624,12/29/1989
3625,6/3/1989
3654,11/8/1989
3689,4/2/1989
3709,12/31/1989
3891,2/8/1989
3988,5/22/1989
4072,4/25/1989
4130,9/6/1989
4251,6/14/1989
4272,5/10/1989
4391,5/4/1989
4409,3/8/1989
4417,7/22/1989
4433,8/21/1989
4535,4/15/1989
4586,1/18/1989
4608,6/27/1989
4618,7/31/1989
4724,11/19/1989
4757,12/25/1989
4765,4/22/1989
4768,1/2/1989
4780,12/28/1989
4814,7/30/1989
4863,12/28/1989
2052,2/20/1989
2139,12/22/1989
2351,12/27/1989
2530,2/12/1989
2575,7/12/1989
2717,11/12/1989
2722,3/5/1989
2747,10/31/1989
2794,2/9/1989
2798,7/24/1989
2931,5/4/1989
2939,1/29/1989
1014,1/19/1989
1105,11/7/1989
1140,10/30/1989
1211,2/3/1989
1275,3/1/1989
1296,12/15/1989
1451,5/1/1989
1516,3/15/1989
1521,6/24/1989
1655,4/2/1989
1698,7/18/1989
1744,12/8/1989
1811,1/24/1989
1813,11/26/1989
1829,12/25/1989
1916,12/31/1989
1921,2/25/1989
1963,9/2/1989
1977,2/21/1989
